date,trade_idx,side,entry_time,pnl,win,ovn_pos,daily_bias,range_consumed,fib_dist,golden_zone,rsi_1h,hurst,poc_above,poc_dist,mtf_1h_bull,mtf_4h_bull,mtf_aligned,atr,fib_runway,fib_floor,fib_density,above_P,above_P_pts,near_golden,struct_rr
2025-09-22,1,LONG,13:10,168.76,1,0.524,BOTH,10.421,173.0,0,67.92,-0.1551,1,573.2,1,1,1,15.8,999.0,587.1,0,1,505.5,0,
2025-09-23,0,LONG,11:10,-63.24,0,0.526,BOTH,1.899,8.25,0,41.05,-0.0233,1,126.2,0,1,0,20.7,71.7,78.2,1,1,8.2,0,0.92
2025-09-23,1,SHORT,13:05,100.76,1,0.526,BOTH,4.456,28.25,0,28.92,-0.0404,1,89.8,0,0,1,17.0,41.8,108.2,1,0,-28.2,0,0.39
2025-09-24,0,LONG,10:45,-79.74,0,0.724,BOTH,2.293,39.33,0,46.75,-0.1381,1,20.8,0,0,0,26.2,124.4,48.7,1,0,-39.3,0,2.55
2025-09-24,1,SHORT,13:45,-59.24,0,0.724,BOTH,9.181,11.42,0,30.23,0.0099,0,-96.8,0,0,1,19.3,73.7,241.9,2,0,-156.8,0,0.3
2025-09-25,0,SHORT,13:20,164.76,1,0.144,SHORT,0.271,12.2,0,34.15,0.1081,0,-294.8,0,0,1,27.7,91.4,283.5,2,0,-179.8,0,0.32
2025-09-26,0,LONG,11:25,122.76,1,0.48,BOTH,0.477,51.38,0,53.26,-0.1317,1,148.0,1,0,0,46.7,51.4,158.7,0,1,53.7,0,0.32
2025-09-26,1,LONG,13:25,-69.74,0,0.48,BOTH,2.387,7.08,0,59.79,-0.1065,1,224.8,1,1,1,22.8,7.1,235.5,4,1,130.4,0,0.03
2025-09-29,0,LONG,10:30,-105.74,0,0.691,BOTH,2.935,57.33,0,84.61,-0.0714,1,304.5,1,1,1,34.8,57.3,376.7,0,1,296.6,0,0.15
2025-09-30,0,LONG,10:30,100.76,1,0.646,BOTH,0.685,2.9,1,40.76,-0.1564,0,-87.2,0,0,0,42.0,131.2,17.8,3,0,-69.8,0,7.37
2025-09-30,1,LONG,11:10,-102.74,0,0.646,BOTH,0.214,33.1,0,51.37,-0.1239,0,-51.2,1,0,0,33.8,95.2,33.1,2,0,-33.8,0,2.88
2025-10-01,0,LONG,10:30,153.76,1,0.485,BOTH,2.956,4.05,0,60.72,-0.2162,1,111.2,1,1,1,45.2,50.0,145.6,4,1,91.5,0,0.34
2025-10-01,1,LONG,13:25,-79.24,0,0.485,BOTH,16.962,37.0,0,70.18,-0.1826,1,198.2,1,1,1,13.0,46.0,232.6,1,1,178.5,0,0.2
2025-10-02,0,LONG,10:35,-116.74,0,0.919,LONG,1.994,2.92,0,54.55,0.4759,1,298.0,1,1,1,38.5,33.8,265.8,3,1,158.4,0,0.13
2025-10-02,1,LONG,11:50,48.26,1,0.919,LONG,3.621,14.36,0,48.5,0.2536,1,272.8,0,1,0,28.2,22.3,240.6,2,1,133.2,0,0.09
2025-10-03,0,LONG,10:40,-0.74,0,0.488,BOTH,0.679,18.17,0,38.32,0.1515,1,73.8,0,0,0,33.5,48.8,85.1,1,1,18.2,0,0.57
2025-10-03,1,LONG,11:50,-57.74,0,0.488,BOTH,0.159,23.03,0,42.57,0.1069,1,99.5,0,1,0,18.8,23.0,110.9,1,1,43.9,0,0.21
2025-10-06,0,LONG,11:00,97.26,1,0.898,LONG,1.968,3.92,0,68.85,-0.2991,1,20.8,1,1,1,26.2,25.3,222.7,4,1,127.9,0,0.11
2025-10-06,1,LONG,13:45,55.76,1,0.898,LONG,0.488,32.9,0,73.18,-0.359,1,79.0,1,1,1,13.8,61.8,280.9,1,1,186.2,0,0.22
2025-10-08,0,LONG,10:40,158.26,1,0.635,BOTH,4.396,6.97,0,74.37,0.0528,1,96.2,1,1,1,26.5,7.0,207.1,2,1,100.1,0,0.03
2025-10-08,1,LONG,13:00,138.76,1,0.635,BOTH,14.829,16.46,0,76.56,0.0148,1,152.8,1,1,1,11.7,16.6,263.6,2,1,156.6,1,0.06
2025-10-10,0,LONG,10:30,0.26,1,0.59,BOTH,0.765,4.58,0,50.38,-0.0133,1,126.5,1,1,1,34.3,15.9,158.1,4,1,91.7,1,0.1
2025-10-10,1,LONG,10:45,-92.24,0,0.59,BOTH,1.269,3.62,0,51.99,-0.0699,1,138.8,1,1,1,30.3,3.6,170.4,4,1,103.9,1,0.02
2025-10-13,0,LONG,10:30,-0.74,0,0.847,BOTH,0.514,15.33,0,52.67,0.09,0,-241.5,1,1,1,55.0,267.3,333.5,1,1,15.3,0,0.8
2025-10-13,1,LONG,11:10,97.26,1,0.847,BOTH,0.09,8.67,0,48.1,0.1556,0,-265.5,1,1,1,47.2,291.3,309.5,1,0,-8.7,0,0.94
2025-10-15,0,LONG,10:30,-141.24,0,0.93,LONG,2.245,19.42,0,93.41,0.1708,1,591.0,1,1,1,46.7,172.4,543.4,2,1,351.6,0,0.32
2025-10-16,0,LONG,10:30,97.76,1,0.76,BOTH,1.294,19.62,0,81.01,-0.3698,1,402.2,1,1,1,49.7,19.6,381.0,3,1,207.5,0,0.05
2025-10-16,1,LONG,10:50,-150.24,0,0.76,BOTH,1.862,2.75,0,82.57,-0.3026,1,430.5,1,1,1,49.7,2.8,409.3,2,1,235.8,0,0.01
2025-10-20,0,LONG,10:30,82.76,1,0.827,BOTH,4.371,35.42,0,77.14,-0.0711,1,419.0,1,1,1,34.8,35.4,476.4,1,1,346.6,0,0.07
2025-10-20,1,LONG,11:35,35.26,1,0.827,BOTH,9.725,10.08,0,79.45,-0.1211,1,464.5,1,1,1,20.3,242.1,521.9,1,1,392.1,0,0.46
2025-10-21,0,LONG,10:35,-0.74,0,0.419,BOTH,1.33,12.75,0,28.87,-0.0212,1,92.2,0,1,0,38.2,104.5,79.0,1,0,-12.8,0,1.32
2025-10-21,1,LONG,11:30,-0.74,0,0.419,BOTH,0.365,26.75,0,39.85,-0.0126,1,131.8,0,1,0,30.8,65.0,118.5,1,1,26.8,0,0.55
2025-10-22,0,SHORT,10:40,-141.74,0,0.444,BOTH,4.078,9.25,0,33.74,-0.0235,0,-162.2,0,0,1,46.8,999.0,268.7,1,0,-213.5,0,
2025-10-22,1,SHORT,11:15,164.76,1,0.444,BOTH,2.954,22.75,0,30.83,0.0466,0,-116.0,0,0,1,49.0,37.0,222.4,2,0,-167.2,0,0.17
2025-10-23,0,LONG,10:30,-0.74,0,0.426,BOTH,3.512,48.4,0,63.16,-0.041,1,202.5,1,1,1,41.5,48.4,321.6,0,1,136.6,0,0.15
2025-10-23,1,LONG,10:55,-124.24,0,0.426,BOTH,4.232,20.65,0,65.39,-0.1732,1,230.2,1,1,1,41.0,20.7,349.3,1,1,164.3,0,0.06
2025-10-24,0,LONG,10:35,-120.24,0,0.797,BOTH,1.128,33.83,0,85.56,-0.0242,1,362.8,1,1,1,39.7,155.3,423.7,1,1,323.3,0,0.37
2025-10-24,1,LONG,11:10,91.26,1,0.797,BOTH,1.169,25.33,0,82.48,0.0277,1,354.2,1,1,1,31.0,163.8,415.2,1,1,314.8,0,0.39
2025-10-27,0,LONG,10:30,40.26,1,0.896,LONG,1.923,127.58,0,88.05,0.123,1,347.5,1,1,1,30.2,999.0,405.6,0,1,355.2,0,
2025-10-27,1,LONG,13:30,117.76,1,0.896,LONG,9.356,161.58,0,87.09,0.0254,1,381.5,1,1,1,9.8,999.0,439.6,0,1,389.2,0,
2025-10-28,0,LONG,11:05,-70.24,0,0.912,LONG,0.054,10.92,0,71.16,-0.0233,1,216.2,1,1,1,23.0,84.7,215.3,1,1,160.9,0,0.39
2025-10-28,1,LONG,11:55,121.26,1,0.912,LONG,0.439,18.67,0,72.25,-0.1718,1,224.0,1,1,1,20.5,76.9,223.1,1,1,168.7,0,0.34
2025-10-29,0,LONG,10:30,-76.24,0,0.724,BOTH,1.52,26.0,0,71.73,-0.1244,1,191.8,1,1,1,25.0,44.2,232.2,2,1,162.0,0,0.19
2025-10-30,0,SHORT,10:30,-0.74,0,0.147,SHORT,1.11,1.0,0,35.8,0.3277,0,-124.5,0,0,1,68.7,31.9,247.1,4,0,-140.5,0,0.13
2025-10-30,1,SHORT,10:45,95.26,1,0.147,SHORT,1.063,2.25,0,36.07,0.2731,0,-118.2,0,0,1,65.8,2.2,240.8,4,0,-134.2,0,0.01
2025-10-31,0,LONG,10:30,81.26,1,0.824,BOTH,1.883,7.25,0,39.52,-0.0266,1,124.8,0,0,0,41.2,20.8,189.1,3,1,98.2,0,0.11
2025-11-03,0,LONG,11:55,42.26,1,0.94,LONG,3.341,40.76,0,54.95,0.0763,1,12.8,1,1,1,35.2,40.8,197.4,0,1,78.3,0,0.21
2025-11-04,0,SHORT,10:50,-0.74,0,0.181,SHORT,1.704,68.5,0,36.3,0.1131,0,-439.5,0,0,1,38.0,68.5,418.6,0,0,-322.0,0,0.16
2025-11-04,1,SHORT,11:50,212.76,1,0.181,SHORT,0.638,26.5,0,37.56,0.0949,0,-481.5,0,0,1,35.7,26.5,460.6,1,0,-364.0,0,0.06
2025-11-07,0,SHORT,10:30,110.76,1,0.165,SHORT,2.481,17.58,0,22.0,-0.1463,0,-427.2,0,0,1,77.0,242.8,691.3,1,0,-505.1,0,0.35
2025-11-07,1,SHORT,10:55,-0.74,0,0.165,SHORT,4.248,113.33,0,19.1,-0.1182,0,-523.0,0,0,1,67.5,147.1,787.1,0,0,-600.8,0,0.19
2025-11-10,0,LONG,10:30,-110.74,0,0.925,LONG,3.137,16.83,0,86.17,0.0833,1,663.5,1,1,1,36.5,16.8,819.2,1,1,672.8,0,0.02
2025-11-10,1,LONG,13:10,-0.74,0,0.925,LONG,4.311,22.83,0,68.08,0.2678,1,657.5,1,1,1,25.2,22.8,813.2,1,1,666.8,0,0.03
2025-11-11,0,SHORT,10:30,-0.74,0,0.167,SHORT,2.064,13.23,0,21.92,-0.1286,0,-41.5,0,0,1,43.0,19.3,224.1,3,0,-118.7,0,0.09
2025-11-11,1,SHORT,11:05,-117.24,0,0.167,SHORT,2.483,12.08,0,21.96,-0.1445,0,-48.8,0,0,1,38.7,12.1,231.3,3,0,-125.9,0,0.05
2025-11-12,0,SHORT,10:55,79.76,1,0.745,BOTH,4.669,20.42,0,33.25,-0.0101,0,-17.5,0,0,1,47.3,20.4,141.9,2,0,-58.9,0,0.14
2025-11-12,1,SHORT,11:45,-124.74,0,0.745,BOTH,6.559,0.71,0,30.67,-0.0125,0,-66.5,0,0,1,41.2,0.7,190.9,4,0,-107.9,0,0.0
2025-11-13,0,SHORT,10:30,160.76,1,0.149,SHORT,2.197,0.67,0,16.52,0.1567,0,-296.5,0,0,1,72.5,169.4,403.9,1,0,-292.4,0,0.42
2025-11-13,1,SHORT,10:55,90.76,1,0.149,SHORT,3.305,60.67,0,14.92,0.1452,0,-356.5,0,0,1,66.3,109.4,463.9,0,0,-352.4,0,0.24
2025-11-17,0,SHORT,10:30,170.26,1,0.023,SHORT,1.106,51.75,0,42.64,0.0163,1,357.0,0,0,1,81.2,306.7,203.2,0,1,51.8,0,1.51
2025-11-17,1,SHORT,11:15,-196.74,0,0.023,SHORT,0.56,74.5,0,32.45,0.035,1,230.8,0,0,1,65.2,180.5,329.5,0,0,-74.5,0,0.55
2025-11-19,0,LONG,10:45,-167.24,0,0.576,BOTH,4.572,5.42,0,71.17,0.4812,1,115.5,1,1,1,55.3,5.4,393.2,1,1,220.6,0,0.01
2025-11-19,1,LONG,11:00,-147.24,0,0.576,BOTH,3.185,50.08,0,58.01,0.5585,1,17.5,1,1,1,48.7,50.1,295.2,0,1,122.6,0,0.17
2025-11-20,0,LONG,10:30,-0.74,0,0.911,LONG,0.767,47.08,0,61.56,0.0883,1,611.5,1,1,1,64.8,178.8,710.4,0,1,527.1,0,0.25
2025-11-21,0,LONG,11:30,91.76,1,0.77,BOTH,0.369,15.95,1,49.69,0.0151,0,-420.0,1,0,0,99.5,838.0,114.5,1,0,-438.2,0,7.32
2025-11-21,1,LONG,11:50,176.26,1,0.77,BOTH,0.849,92.55,0,54.05,0.0131,0,-311.5,1,0,0,84.5,729.5,92.6,0,0,-329.8,0,7.88
2025-11-24,0,LONG,10:30,179.76,1,0.808,BOTH,3.213,12.65,0,69.77,-0.07,1,589.5,1,1,1,74.0,243.0,681.9,2,1,426.2,0,0.36
2025-11-24,1,LONG,11:15,84.76,1,0.808,BOTH,7.644,120.15,0,71.29,-0.0534,1,697.0,1,1,1,45.2,135.5,789.4,0,1,533.8,0,0.17
2025-11-26,0,LONG,10:30,148.76,1,0.921,LONG,0.005,28.08,0,58.13,-0.0238,1,470.8,1,1,1,54.5,135.3,487.3,1,1,323.9,0,0.28
2025-11-26,1,LONG,11:15,-0.74,0,0.921,LONG,2.314,49.08,0,65.22,0.0368,1,557.0,1,1,1,37.2,49.1,573.6,0,1,410.2,0,0.09
2025-11-28,0,LONG,10:30,-0.74,0,0.549,BOTH,0.643,2.37,0,76.1,-0.1282,1,215.2,1,1,1,36.2,26.0,181.4,2,1,94.3,0,0.14
2025-11-28,1,LONG,11:30,-0.74,0,0.549,BOTH,1.688,6.54,0,82.79,-0.0773,1,234.8,1,1,1,25.3,6.5,200.9,4,1,113.8,0,0.03
2025-12-01,0,SHORT,10:30,-154.24,0,0.176,SHORT,0.657,20.83,0,47.12,0.004,0,-174.0,0,0,1,51.0,20.8,215.1,1,0,-149.9,0,0.1
2025-12-02,0,LONG,10:30,12.76,1,0.845,BOTH,1.267,1.96,0,68.02,0.1708,1,173.2,1,1,1,46.2,107.6,288.7,3,1,179.2,0,0.37
2025-12-02,1,LONG,10:40,-0.74,0,0.845,BOTH,2.722,36.33,0,78.99,0.1641,1,244.5,1,1,1,47.7,36.3,360.0,1,1,250.4,0,0.1
2025-12-04,0,LONG,10:30,-0.74,0,0.84,BOTH,2.139,0.42,0,42.9,-0.2896,1,98.5,0,0,0,54.0,96.7,84.9,1,0,-0.4,0,1.14
2025-12-04,1,SHORT,11:00,-125.24,0,0.84,BOTH,4.306,22.42,0,32.25,-0.2262,1,36.0,0,0,1,41.3,22.4,159.2,2,0,-62.9,0,0.14
2025-12-05,0,LONG,10:30,-137.24,0,0.571,BOTH,3.866,32.67,0,70.56,0.0835,1,218.5,1,1,1,45.3,76.4,345.3,1,1,258.9,0,0.22
2025-12-05,1,LONG,10:55,-117.24,0,0.571,BOTH,1.642,7.34,0,57.59,0.1278,1,106.8,1,1,1,38.7,79.1,233.6,3,1,147.2,0,0.34
2025-12-11,0,LONG,10:30,-186.74,0,0.605,BOTH,1.043,3.92,1,45.21,0.3138,0,-98.8,0,0,0,61.8,298.5,35.5,2,0,-170.9,0,8.41
2025-12-11,1,LONG,10:55,-0.74,0,0.605,BOTH,1.984,11.75,0,41.97,0.3211,0,-146.0,0,0,0,56.3,345.8,115.8,1,0,-218.2,0,2.99
2025-12-12,0,SHORT,10:30,247.76,1,0.083,SHORT,3.352,48.28,0,21.13,0.0517,0,-118.5,0,0,1,63.2,78.8,381.0,0,0,-253.9,0,0.21
2025-12-12,1,SHORT,11:10,79.76,1,0.083,SHORT,5.197,46.17,0,14.74,0.2257,0,-272.2,0,0,1,70.3,46.2,534.8,0,0,-407.7,0,0.09
2025-12-15,0,LONG,11:15,-184.24,0,0.997,LONG,2.746,80.42,0,47.88,-0.0884,1,71.0,0,0,0,61.0,272.5,111.6,0,0,-80.4,0,2.44
2025-12-16,0,LONG,10:50,-0.74,0,0.528,BOTH,1.053,16.94,0,64.38,-0.1206,0,-295.2,1,0,0,73.8,269.9,16.9,1,0,-126.5,0,15.97
2025-12-16,1,SHORT,11:20,-173.74,0,0.528,BOTH,0.0,12.25,0,56.77,-0.0613,0,-373.0,1,0,0,57.5,12.2,347.7,3,0,-204.2,0,0.04
2025-12-17,0,SHORT,10:45,103.76,1,0.648,BOTH,4.433,13.34,0,31.66,0.2554,0,-119.2,0,0,1,63.2,77.7,251.6,1,0,-160.6,0,0.31
2025-12-17,1,SHORT,13:40,-0.74,0,0.648,BOTH,12.907,19.33,0,25.84,0.0344,0,-280.2,0,0,1,34.2,19.3,412.6,1,0,-321.6,0,0.05
2025-12-18,0,LONG,10:30,-0.74,0,0.983,LONG,1.301,2.92,0,89.07,0.3606,1,228.5,1,1,1,62.7,2.9,447.3,1,1,252.3,0,0.01
2025-12-18,1,LONG,10:50,-0.74,0,0.983,LONG,1.745,13.58,0,89.41,0.3654,1,245.0,1,1,1,56.2,46.7,463.8,1,1,268.8,0,0.1
2025-12-22,0,LONG,11:10,17.76,1,0.966,LONG,2.741,277.08,0,51.97,0.0023,1,739.8,1,1,1,27.0,999.0,748.2,0,1,652.7,0,
2025-12-22,1,LONG,13:00,-79.24,0,0.966,LONG,5.25,282.83,0,55.88,0.0114,1,745.5,1,1,1,13.0,999.0,753.9,0,1,658.4,0,
2025-12-26,0,LONG,10:30,-88.24,0,0.703,BOTH,0.216,5.54,0,51.16,0.0565,1,88.5,1,1,1,29.0,7.5,90.0,4,1,47.8,1,0.08
2025-12-26,1,LONG,13:45,-46.24,0,0.703,BOTH,1.552,3.21,0,51.82,0.0394,1,79.8,1,1,1,9.7,3.2,81.2,5,1,39.0,0,0.04
2025-12-30,0,SHORT,10:30,-91.74,0,0.12,SHORT,0.041,15.41,0,44.13,-0.0105,0,-77.2,0,0,1,30.2,15.4,115.2,3,0,-49.9,0,0.13
2025-12-30,1,SHORT,11:50,-8.74,0,0.12,SHORT,1.772,14.42,0,53.62,0.081,0,-41.8,0,0,1,19.3,50.9,79.7,1,0,-14.4,0,0.64
2025-12-31,0,SHORT,11:00,-72.74,0,0.764,BOTH,4.846,36.17,0,41.61,0.0896,0,-147.5,0,0,1,23.8,37.7,202.7,2,0,-156.7,0,0.19
2025-12-31,1,SHORT,13:00,-89.24,0,0.764,BOTH,6.562,16.92,0,46.1,0.0303,0,-128.2,0,0,1,14.7,56.9,183.4,1,0,-137.4,0,0.31
2026-01-05,0,LONG,10:30,-153.24,0,0.986,LONG,0.804,18.86,0,84.64,-0.2034,1,256.8,1,1,1,50.7,18.9,392.4,1,1,186.8,0,0.05
2026-01-06,0,LONG,10:35,-114.24,0,0.739,BOTH,2.808,21.58,0,67.02,0.2944,1,114.2,1,1,1,37.7,43.2,191.1,1,1,126.3,0,0.23
2026-01-06,1,LONG,11:00,22.76,1,0.739,BOTH,0.852,18.17,0,53.99,0.3772,1,34.5,1,1,1,30.5,18.2,111.3,3,1,46.6,0,0.16
2026-01-07,0,LONG,10:30,-106.74,0,0.539,BOTH,2.616,2.92,0,64.84,0.0869,1,229.0,1,1,1,35.2,2.9,209.6,3,1,135.4,0,0.01
2026-01-07,1,LONG,10:40,109.76,1,0.539,BOTH,1.634,1.17,0,59.55,-0.0128,1,201.0,1,1,1,39.2,23.9,181.6,4,1,107.4,1,0.13
2026-01-08,0,LONG,10:30,-0.74,0,0.643,BOTH,2.245,13.58,0,33.51,0.0928,0,-130.8,0,0,0,53.7,300.5,13.6,1,0,-213.7,0,22.1
2026-01-08,1,LONG,10:55,-143.74,0,0.643,BOTH,2.137,32.58,0,35.86,-0.0074,0,-111.8,0,0,0,47.5,281.5,32.6,1,0,-194.7,0,8.63
2026-01-09,0,LONG,10:30,-0.74,0,0.442,BOTH,2.167,44.17,0,75.65,-0.0777,1,207.8,1,1,1,69.3,44.2,278.2,0,1,189.1,0,0.16
2026-01-09,1,LONG,11:30,88.26,1,0.442,BOTH,3.517,35.93,0,72.93,0.034,1,198.8,1,1,1,40.2,53.2,269.2,1,1,180.1,0,0.2
2026-01-13,0,LONG,11:15,-113.74,0,0.521,BOTH,0.953,7.75,0,56.35,-0.071,1,112.5,1,1,1,37.5,113.5,90.5,1,0,-7.8,0,1.25
2026-01-14,0,SHORT,10:30,205.26,1,0.173,SHORT,2.196,66.25,0,18.54,0.0658,0,-262.2,0,0,1,66.8,80.2,393.8,0,0,-303.2,0,0.2
2026-01-14,1,SHORT,10:55,-173.24,0,0.173,SHORT,4.33,21.25,0,14.21,0.0754,0,-363.8,0,0,1,57.3,999.0,495.2,1,0,-404.8,0,
2026-01-15,0,LONG,10:30,-156.24,0,0.93,LONG,0.368,52.67,0,79.98,-0.2967,1,177.8,1,1,1,51.7,52.7,458.7,0,1,317.3,0,0.11
2026-01-15,1,LONG,10:55,-0.74,0,0.93,LONG,0.815,66.67,0,78.97,-0.0885,1,155.8,1,1,1,50.3,74.7,436.7,0,1,295.3,0,0.17
2026-01-16,0,LONG,11:35,-94.24,0,0.947,LONG,4.565,0.03,0,40.23,-0.1127,0,-149.8,0,0,0,31.0,166.2,0.0,2,0,-85.2,0,
2026-01-16,1,LONG,13:20,-66.24,0,0.947,LONG,6.623,1.97,1,39.28,-0.0721,0,-151.8,0,0,0,21.7,168.2,24.4,2,0,-87.2,0,6.89
2026-01-21,0,LONG,10:30,112.26,1,0.738,BOTH,4.014,5.09,0,65.34,0.2732,1,108.8,1,1,1,53.5,5.1,308.2,2,1,188.5,1,0.02
2026-01-21,1,LONG,11:30,-102.24,0,0.738,BOTH,6.609,2.66,0,65.51,0.2861,1,116.5,1,1,1,33.7,117.0,315.9,2,1,196.2,0,0.37
2026-01-22,0,LONG,10:30,-0.74,0,0.963,LONG,1.825,34.2,0,52.58,-0.2602,1,270.5,1,1,1,58.5,34.2,362.8,1,1,166.2,0,0.09
2026-01-22,1,LONG,11:00,104.76,1,0.963,LONG,2.522,30.45,0,55.52,-0.2264,1,274.2,1,1,1,40.8,30.5,366.5,1,1,170.0,0,0.08
2026-01-26,0,LONG,10:30,-0.74,0,0.996,LONG,3.041,0.17,0,70.25,0.218,1,241.0,1,1,1,36.7,26.1,256.9,3,1,148.8,0,0.1
2026-01-26,1,LONG,11:20,-0.74,0,0.996,LONG,4.765,6.19,0,77.58,0.0568,1,273.2,1,1,1,30.2,101.9,289.2,3,1,181.1,0,0.35
